"","first","last","team"
"2868","Jayleen","Burton","New Mexico St."
"2869","Jordan","Burton","Hawaii"
"2870","Kaiya","Burton","Bucknell"
"2871","Kendall","Burton","UTSA"
"2872","Kendall","Burton","Georgia"
"2873","Megan","Burton","Eastern Ill."
"2874","Gabby","Buruato","App State"
"2875","Hayley","Busby","Virginia"
"2876","Hayley","Busby","Oklahoma St."
"2877","Tanya","Busby","Miami (OH)"
"2878","Mickey","Buscemi","UC Davis"
"2879","Bethany","Busch","Houston"
"2880","Jack","Busch","Pittsburgh"
"2881","Jack","Busch","Lipscomb"
"2882","Alcy","Bush","Northwestern"
"2883","Alexis","Bush","Saint Joseph's"
"2884","Bria","Bush","Tennessee"
"2885","Deja","Bush","Florida St."
"2886","Jessica","Bush","Lipscomb"
"2887","Jessica","Bush","Western Ky."
"2888","Kaeli","Bush","Hawaii"
"2889","Katie","Bushee","Colgate"
"2890","Brooke","Bushman","Houston Christian"
"2891","Kaelyn","Buskey","Monmouth"
"2892","Raeann","Buskey","Monmouth"
"2893","Makenzie","Buss","Jacksonville"
"2894","Dasha","Bussey","Benedict"
"2895","Shannon","Bustillos","Maryland"
"2896","Breanna","Butcher","UNC Greensboro"
"2897","Ashley","Butera","Nevada"
"2898","Anna","Butler","Hofstra"
"2899","Brianna","Butler","Duke"
"2900","Charley","Butler","Louisville"
"2901","Elon","Butler","California"
"2902","Isabelle","Butler","Boise St."
"2903","Kerry","Butler","East Carolina"
"2904","Marissa","Butler","Ouachita Baptist"
"2905","Morgan","Butler","Grambling"
"2906","Nikki","Butler","New Mexico St."
"2907","Pepper","Butler","App State"
"2908","Reed","Butler","James Madison"
"2909","Ruby","Butler","Maryland"
"2910","Rylee","Butler","Samford"
"2911","Stephanie","Butler","Villanova"
"2912","Brina","Buttacavoli","Utah St."
"2913","Allie","Butterfield","Arizona St."
"2914","Dana","Butterfield","Montana"
"2915","Lydia","Butters","UNI"
"2916","Kaylee","Butterworth","Idaho St."
"2917","Laura","Butts","Siena"
"2918","Marissa","Butts","George Mason"
"2919","Shelby","Butwell","Fairfield"
"2920","Madison","Buzalka","Norfolk St."
"2921","Sophia","Buzard","Kansas"
"2922","Emme","Buzhardt","Furman"
"2923","Laila","Byas","Williams Baptist"
"2924","Amanda","Byers","FGCU"
"2925","Shayna","Byers","Savannah St."
"2926","Sydni","Byers","Towson"
"2927","Madi","Bylak","Illinois St."
"2928","Amber","Byrd","Mercer"
"2929","Corie","Byrd","SFA"
"2930","Katie","Byrd","San Diego St."
"2931","Katie","Byrd","Kennesaw St."
"2932","Mackenzie","Byrd","Alabama St."
"2933","Matti","Byrd","Austin Peay"
"2934","Reese","Byrd","UNC Greensboro"
"2935","Tyra","Byrd","Radford"
"2936","Morgan","Byrn","Kansas City"
"2937","Taylar","Byrne","Charlotte"
"2938","Therese","Byrne","Alabama St."
"2939","Nikki","Byron","Maine"
"2940","Brooke","Caballero","Alabama A&M"
"2941","Brooke","Caballero","Coppin St."
"2942","Makayla","Caballero","Jackson St."
"2943","Makayla","Caballero","Coppin St."
"2944","Marissa","Caballero","Long Beach St."
"2945","Kaira","Cabato","Bethune-Cookman"
"2946","Taylor","Cabe","Harvard"
"2947","Madison","Cabell","Saint Francis (PA)"
"2948","Rebeca","Cabezas","UC Riverside"
"2949","Sydnee","Cable","San Diego St."
"2950","Julia","Cabral","Colorado St."
"2951","Lindsay","Cabral","Saint Mary's (CA)"
"2952","Lyric","Cabral","South Alabama"
"2953","Amanda","Cabrera","Tennessee St."
"2954","Cc","Caccamise","LSU"
"2955","Cc","Caccamise","UNLV"
"2956","Danielle","Cacciola","Siena"
"2957","Tabby","Cacheris","Saint Louis"
"2958","Alyssa","Cacini","Dayton"
"2959","Alexis","Cacioppo","ULM"
"2960","Grace","Cadden","Massachusetts"
"2961","Jen","Cader","Kent St."
"2962","Morgan","Cadmus","Akron"
"2963","Lisa","Cadogan","Binghamton"
"2964","Sara","Cadona","UC Davis"
"2965","Hannah","Cady","Northwestern"
"2966","Liz","Caggiano","Columbia"
"2967","Carol","Cagle","North Carolina"
"2968","Skylar","Cagle","Northwestern St."
"2969","Valerie","Cagle","Clemson"
"2970","Kenleigh","Cahalan","Alabama"
"2971","Mary beth","Cahalan","Dartmouth"
"2972","Caroline","Cahill","Akron"
"2973","Holiday","Cahill","Towson"
"2974","Katelyn","Cahill","Butler"
"2975","Merritt","Cahoon","Samford"
"2976","Bela","Cahueque","Manhattan"
"2977","Deja","Cain","Texas Southern"
"2978","Faith","Cain","Syracuse"
"2979","Olivia","Cainey","Purdue"
"2980","Alyssa","Cairns","Davis & Elkins"
"2981","Taylor","Cairns","UIC"
"2982","Lauren","Caka","Houston-Victoria"
"2983","Lauren","Caka","Houston-Victoria"
"2984","Jacqueline","Cal","Rider"
"2985","Jacqueline","Cal","Lafayette"
"2986","Michele","Calabrese","Illinois St."
"2987","Maegan","Calandra","App State"
"2988","Maegan","Calandra","North Florida"
"2989","Berkley","Calapp","Louisiana Tech"
"2990","Jordan","Calderon","South Alabama"
"2991","Karla","Calderon","Oregon St."
"2992","Karla","Calderon","Corban"
"2993","Makenna","Calderon","Utah"
"2994","Makenna","Calderon","Southern Utah"
"2995","Nicole","Calderon","Idaho St."
"2996","Zaylie","Calderon","UTEP"
"2997","Lauren","Caldrone","Northwestern"
"2998","Bailey","Caldwell","Wesleyan (GA)"
"2999","Chandler","Caldwell","Tennessee Tech"
"3000","Chandler","Caldwell","Ga. Southern"
"3001","Ellie","Caldwell","Army West Point"
"3002","Kam","Caldwell","App State"
"3003","Kamryn","Caldwell","Texas Tech"
"3004","Kensey","Caldwell","Georgia St."
"3005","Zory","Caldwell","New Mexico St."
"3006","Logan","Calhoun","Troy"
"3007","Reese","Calhoun","Austin Peay"
"3008","Jenna","Cali","Bryant"
"3009","Alex","Caliva","Illinois St."
"3010","Manami","Calixto","UCF"
"3011","Brittany","Call","BYU"
"3012","Farley","Callaghan","FGCU"
"3013","Lanie","Callaghan","Valparaiso"
"3014","Jules","Callaham","Oklahoma St."
"3015","Ally","Callahan","Central Ark."
"3016","Caitlyn","Callahan","Boston U."
"3017","Caitlyn","Callahan","Saint Mary's (CA)"
"3018","Candain","Callahan","North Texas"
"3019","Courtney","Callahan","Michigan St."
"3020","Faith","Callahan","Central Mich."
"3021","Leslie","Callahan","Lincoln (MO)"
"3022","Summer","Callahan","Michigan St."
"3023","Summer","Callahan","Bowling Green"
"3024","Cait","Calland","LSU"
"3025","Misty","Callas","Ark.-Pine Bluff"
"3026","Arwin","Callaway","SFA"
"3027","Catherine","Callaway","Harvard"
"3028","Gabby","Callaway","Alabama"
"3029","Gabby","Callaway","Rutgers"
"3030","Jalia","Callaway","Lincoln (MO)"
"3031","Jalia","Callaway","Alabama A&M"
"3032","Kate","Callaway","Cornell"
"3033","Kelbe","Callaway","Ark.-Monticello"
"3034","Julia","Callicutt","Campbell"
"3035","Payton","Callihan","Morehead St."
"3036","Destiny","Calloway","South Carolina St."
"3037","Marissa","Calloway","Buffalo"
"3038","Jorgi","Calombaris","Valparaiso"
"3039","Taryn","Calori","MSU Denver"
"3040","Erin","Calpin","George Mason"
"3041","Sarah","Calta","Maryland"
"3042","Kalea","Calugay","Drexel"
"3043","Jaylin","Calvert","Auburn"
"3044","Jaylin","Calvert","IUPUI"
"3045","Kendal","Calvert","IUPUI"
"3046","Jessica","Calvini","Lehigh"
"3047","Alexis","Camacho","Dartmouth"
"3048","Madyson","Camacho","North Dakota St."
"3049","Brittany","Camara","Central Conn. St."
"3050","Ava","Camarena","Coppin St."
"3051","Chloe","Camarero","Weber St."
"3052","Felicia","Camargo","Prairie View"
"3053","Toni","Camarillo","Bryant"
"3054","Samantha","Camello","San Diego St."
"3055","Angelina","Camen","A&M-Corpus Christi"
"3056","Hannah","Camenzind","Arkansas"
"3057","Lauren","Camenzind","Arkansas"
"3058","Emily","Cameron","Elon"
"3059","Heather","Cameron","Hawaii"
"3060","Janae","Cameron","Omaha"
"3061","Janae","Cameron","New Mexico"
"3062","Kennedy","Cameron","Norfolk St."
"3063","Kerris","Cameron","Norfolk St."
"3064","Sydney","Cammon","Eastern Ill."
"3065","Sydney","Cammon","Butler"
"3066","Cassie","Camou","Long Beach St."
"3067","Bailey","Camp","Ark.-Monticello"
"3068","Kierra","Camp","Ga. Southern"
"3069","Reganne","Camp","Seton Hall"
"3070","Jacki","Campa","San Diego St."
"3071","Abbie","Campbell","James Madison"
"3072","Alexis","Campbell","Akron"
"3073","Carli","Campbell","Arizona"
"3074","Carli","Campbell","Syracuse"
"3075","Caroline","Campbell","N.C. Central"
"3076","Christine","Campbell","Lehigh"
"3077","Destiny","Campbell","Saint Mary's (CA)"
"3078","Ella","Campbell","Col. of Charleston"
"3079","Emma","Campbell","Stony Brook"
"3080","Erika","Campbell","UC Riverside"
"3081","Gabbi","Campbell","UT Martin"
"3082","Haley","Campbell","Centenary (LA)"
"3083","Haven","Campbell","Murray St."
"3084","Jaymee","Campbell","Saint Mary's (CA)"
"3085","Jourdyn","Campbell","Texas A&M"
"3086","Jourdyn","Campbell","Louisiana"
"3087","Kylie","Campbell","Austin Peay"
"3088","Lexi","Campbell","UC Santa Barbara"
"3089","Lici","Campbell","Oregon St."
"3090","Lindsay","Campbell","SFA"
"3091","Mckenzie","Campbell","Lyon"
"3092","Molly","Campbell","Seattle U"
"3093","Rachel","Campbell","Utah Tech"
"3094","Saralyn","Campbell","Montevallo"
"3095","Shi-anne","Campbell","N.C. A&T"
"3096","Sidney","Campbell","Kentucky St."
"3097","Sophie","Campbell","UTSA"
"3098","Sydney","Campbell","Oakland"
"3099","Taikibrea","Campbell","Morehead St."
"3100","Taylor","Campbell","Campbell"
"3101","Key-annah","Campbell-pua","Hawaii"
"3102","Sidney","Campion","A&M-Corpus Christi"
"3103","Nora","Campo","Georgetown"
"3104","Nora","Campo","Maine"
"3105","Alexys","Campos","North Dakota"
"3106","Amanda","Campos","Fresno St."
"3107","Bryanna","Campos","Bethune-Cookman"
"3108","Dayanara","Campos","Georgetown"
"3109","Krislyn","Campos","Eastern Ky."
"3110","Malia","Campos","Weber St."
"3111","Nene","Campos","Georgetown"
"3112","Raven","Campos","Ole Miss"
"3113","Sarina","Campos","Sacred Heart"
"3114","Stephanie","Campos","Bradley"
"3115","Stephanie","Campos","Loyola Chicago"
"3116","Mia","Camuso","Oregon"
"3117","Bethany","Canada","Wichita St."
"3118","Iyanna","Canada","Alabama A&M"
"3119","Karlee","Canada","Sam Houston"
"3120","Madison","Canady","Radford"
"3121","Nijaree","Canady","Stanford"
"3122","Madison","Canby","Columbia"
"3123","Cassie","Cancemi","Tufts"
"3124","Sarah","Cancila","Saint Joseph's"
"3125","Jaclyn","Candelas","UNLV"
"3126","Kate","Candies","Christian Brothers"
"3127","Christina","Candotti","Butler"
"3128","Katelyn","Caneda","Nebraska"
"3129","Isabella","Canesi","Towson"
"3130","Sydney","Canessa","Fordham"
"3131","Kara","Canetto","Liberty"
"3132","Faith","Canfield","Michigan"
"3133","Stephanie","Canfield","Arkansas"
"3134","Cassidy","Cangemi","UCF"
"3135","Michelle","Cannata","CSU Bakersfield"
"3136","Katie","Cannington","Kennesaw St."
"3137","Brooke","Cannon","Lehigh"
"3138","Brookelyn","Cannon","Troy"
"3139","Damaria","Cannon","UCF"
"3140","Dj.","Cannon","Kansas City"
"3141","Halle","Cannon","Col. of Charleston"
"3142","Hannah","Cannon","Charleston So."
"3143","Maggie","Cannon","Charlotte"
"3144","Rayven","Cannon","Lyon"
"3145","Trinity","Cannon","Texas A&M"
"3146","Angelica","Cano","Idaho St."
"3147","Rose","Cano","George Washington"
"3148","Brooke","Cantillo","Mississippi St."
"3149","Brooke","Cantillo","Grand Canyon"
"3150","Sarah","Cantley","Canisius"
"3151","Riley","Cantrell","Northwestern St."
"3152","Ashley","Cantu","Creighton"
"3153","Bree","Cantu","Texas Tech"
"3154","Bree","Cantu","Texas"
"3155","Bree","Cantu","Houston"
"3156","Brianna","Cantu","Texas"
"3157","Devin","Cantu","Iowa"
"3158","Korrie","Cantu","TAMU-San Antonio"
"3159","Marlayna","Capaldi","South Alabama"
"3160","Georgia","Capell","Tarleton St."
"3161","Allie","Capello","Pacific"
"3162","Chelsea","Capello","Tex. A&M Int'l"
"3163","Emma","Capetz","Lehigh"
"3164","Michaela","Capicotto","Army West Point"
"3165","Geena","Capitini","Bethune-Cookman"
"3166","Katie","Capizzi","Towson"
"3167","Jordan","Caple","Murray St."
"3168","Jordan","Caple","Alabama St."
"3169","Emma","Caplinger","Rhodes"
"3170","Emily","Capobianco","Utah"
"3171","Dana","Capocci","UIC"
"3172","Natalie","Capone","Charlotte"
"3173","Elizabeth","Caporuscio","Arizona St."
"3174","Stacey","Capp","Robert Morris"
"3175","Aly","Cappaert","Iowa St."
"3176","Nicole","Capra","Fairfield"
"3177","Lovina","Capria","UMass Lowell"
"3178","Jordan","Caprino","Jacksonville"
"3179","Emma","Capuano","Iona"
"3180","Sophia","Caputo","Siena"
"3181","Alexandra","Carabello","George Mason"
"3182","Bella","Caracciolo","Morehead St."
"3183","Kirsten","Caravaca","North Florida"
"3184","Jade","Caraway","NC State"
"3185","Jade","Caraway","Florida"
"3186","Tucker","Caraway","South Alabama"
"3187","Christian","Carbajal","Long Beach St."
"3188","Kaycee","Carbone","Massachusetts"
"3189","Taylor","Carbone","Massachusetts"
"3190","Cassidy","Carby","St. Thomas (MN)"
"3191","Kamryn","Carcich","Murray St."
"3192","Kamryn","Carcich","Middle Tenn."
"3193","Lauren","Card","Hartford"
"3194","Ally","Carda","UCLA"
"3195","Amanda","Carden","SFA"
"3196","Amanda","Carden","Houston"
"3197","Dez","Cardenas","North Dakota St."
"3198","Anna","Carder","Southern Ill."
"3199","Wendy","Cardinali","Fresno St."
"3200","Adrianna","Cardoza","CSU Bakersfield"
"3201","Toni","Cardoza","Notre Dame de Namur"
"3202","Vanessa","Cardoza","Monmouth"
"3203","Shaunessy","Cardwell","Fresno St."
"3204","Amanda","Carey","Fordham"
"3205","Leah","Carey","Brown"
"3206","Jordan","Cargile","Delaware"
"3207","Riley","Cargile","Campbell"
"3208","Isabel","Cargill","Idaho St."
"3209","Lindsey","Cargill","Baylor"
"3210","Jada","Carhee","Ark.-Pine Bluff"
"3211","Bella","Caricari","Morehead St."
"3212","Gianna","Carideo","Washington"
"3213","Gianna","Carideo","Syracuse"
"3214","Jocelyn","Carillo","South Dakota St."
"3215","Niki","Carillo","Saint Joseph's"
"3216","Kaitlin","Caringi","St. Bonaventure"
"3217","Sydney","Carithers","SFA"
"3218","Annabeth","Carlberg","Rhode Island"
"3219","Riley","Carley","New Mexico St."
"3220","Abby","Carlin","Western Ill."
"3221","Erna","Carlin","Texas Tech"
"3222","Maddie","Carlock","Fla. Atlantic"
"3223","Jasmine","Carlos","Lyon"
"3224","Keiki","Carlos","Hawaii"
"3225","Abby","Carlson","Warner Pacific"
"3226","Ariel","Carlson","Oregon"
"3227","Cassandra","Carlson","Youngstown St."
"3228","Jamie","Carlson","Sacred Heart"
"3229","Jasmine","Carlson","Ark.-Pine Bluff"
"3230","Kaylee","Carlson","North Carolina"
"3231","Kaylee","Carlson","Auburn"
"3232","Kristina","Carlson","Jackson St."
"3233","Rachel","Carlson","Maine"
"3234","Crystal","Carlucci","Saint Peter's"
"3235","Jessica","Carlucci","Wagner"
"3236","Katie","Carmichael","Cornell"
"3237","Danielle","Carmody","Merrimack"
"3238","Mikayla","Carmon","CSUN"
"3239","Briana","Carmouche","Grambling"
"3240","Camryn","Carmouche","Stanford"
"3241","Avery","Carnahan","NIU"
"3242","Megan","Carnase","Colgate"
"3243","Bryleigh","Carneal","UT Martin"
"3244","Jenna","Carnes","Longwood"
"3245","Alexis","Carney","UC Davis"
"3246","Erin","Carney","Wichita St."
"3247","Mckayla","Carney","Missouri St."
"3248","Molly","Carney","Notre Dame"
"3249","Rachel","Carney","Colgate"
"3250","Shelbie","Caro","UC Riverside"
"3251","Emily","Carosone","Auburn"
"3252","Gianna","Carosone","Michigan"
"3253","Gianna","Carosone","Southern Utah"
"3254","Maddy","Carpe","Boston College"
"3255","Abby","Carpenter","Siena"
"3256","Aubre","Carpenter","Indiana St."
"3257","Cheyenne","Carpenter","Kentucky St."
"3258","Codi","Carpenter","Sam Houston"
"3259","Hannah","Carpenter","Lamar University"
"3260","Kelsey","Carpenter","FGCU"
"3261","Lakin","Carpenter","Abilene Christian"
"3262","Maggie","Carpenter","Charleston So."
"3263","Makenzie","Carpenter","UTSA"
"3264","Samantha","Carpenter","ETSU"
"3265","Savannah","Carpenter","Southeast Mo. St."
"3266","Jailene","Carpio","North Dakota"
"3267","Bridget","Carr","Rutgers"
"3268","Kasey","Carr","Longwood"
"3269","Kelsey","Carr","Seton Hall"
"3270","Kiana","Carr","Maryland"
"3271","Kianna","Carr","Howard"
"3272","Kylie","Carr","Manhattan"
"3273","Lanay","Carr","Texas Southern"
"3274","Madison","Carr","Southern Utah"
"3275","Madison","Carr","Utah Valley"
"3276","Madison","Carr","FGCU"
"3277","Makaela","Carr","FIU"
"3278","Makaela","Carr","North Dakota"
"3279","Shannon","Carr","Oakland"
"3280","Gabi","Carra","Wisconsin"
"3281","Lauryn","Carranco","CSUN"
"3282","Reyna","Carranco","Arizona"
"3283","Justine","Carranza","Wagner"
"3284","Kelcey","Carrasco","Michigan St."
"3285","Kelcey","Carrasco","Fresno St."
"3286","Marisa","Carrasco","UMass Lowell"
"3287","Ryleigh","Carraway","Purdue Fort Wayne"
"3288","Taylor","Carraway","Oakland"
"3289","Berlyn","Carreon","Utah Valley"
"3290","Jessica","Carreon","UT Arlington"
"3291","Jessica","Carreon","New Mexico St."
"3292","Ryleigh","Carricaburu","Michigan"
"3293","Kate","Carrier","James Madison"
"3294","Ella","Carriere","Purdue Fort Wayne"
"3295","Alexis","Carrillo","Illinois"
"3296","Jocelyn","Carrillo","South Dakota St."
"3297","Keira","Carrillo","Fresno St."
"3298","Rozelyn","Carrillo","South Dakota St."
"3299","Celena","Carrisosa","Portland St."
"3300","Desiree","Carrizosa","Coppin St."
"3301","Vanessa","Carrizosa","Coppin St."
"3302","Allie","Carroll","Stetson"
"3303","Amaya","Carroll","UMBC"
"3304","Aris","Carroll","Arizona"
"3305","Caitlyn","Carroll","Nicholls"
"3306","Courtney","Carroll","Charlotte"
"3307","Emily","Carroll","Sacred Heart"
"3308","Karmann","Carroll","Southwest Minn. St."
"3309","Leslie","Carroll","South Carolina"
"3310","Lindsey","Carroll","Murray St."
"3311","Sandra","Carroll","North Dakota"
"3312","Sofia","Carroll","Seattle U"
"3313","Sophia","Carroll","Arizona"
"3314","Sydni","Carroll","Sacred Heart"
"3315","Francesca","Carrullo","St. John's (NY)"
"3316","Kennedy","Carruth","Belhaven"
"3317","Mikayla","Carruth","Mississippi Col."
"3318","Claire","Carson","App State"
"3319","Hannah","Carson","Michigan"
"3320","Hannah","Carson","LSU"
"3321","Samantha","Carson","Towson"
"3322","Shelby","Carson","Mississippi Val."
"3323","Alison","Carter","Jacksonville"
"3324","Aliyah","Carter","South Fla."
"3325","Anaya","Carter","Tuskegee"
"3326","Armani","Carter","South Carolina St."
"3327","Ashanti","Carter","Alcorn"
"3328","Ashley","Carter","CSU Bakersfield"
"3329","Bailee","Carter","Texas St."
"3330","Breanna","Carter","N.C. Central"
"3331","Brooklyn","Carter","Washington"
"3332","Camden","Carter","Col. of Charleston"
"3333","Carmen","Carter","Mississippi St."
"3334","Dakota","Carter","Nebraska"
"3335","Erin","Carter","Iowa"
"3336","Gabi","Carter","Indiana St."
"3337","Haleigh","Carter","Sam Houston"
"3338","Haley","Carter","Ga. Southern"
"3339","Hannah","Carter","Iowa St."
"3340","Jayda","Carter","Texas Southern"
"3341","Jenna","Carter","Col. of Charleston"
"3342","Kat","Carter","Jacksonville St."
"3343","Kelli anne","Carter","Col. of Charleston"
"3344","Lauryn","Carter","UCLA"
"3345","Lily","Carter","Coppin St."
"3346","Liz","Carter","A&M-Corpus Christi"
"3347","Logan","Carter","Western Mich."
"3348","Madison","Carter","Akron"
"3349","Michaela","Carter","Fordham"
"3350","Nia","Carter","Iowa"
"3351","Paige","Carter","Western Ky."
"3352","Peyton","Carter","Arkansas"
"3353","Peyton","Carter","Southern Miss."
"3354","Riley","Carter","Mercer"
"3355","Riley","Carter","Butler"
"3356","Shelby","Carter","Chattanooga"
"3357","Shelby","Carter","Tarleton St."
"3358","Sydney","Carter","Butler"
"3359","Taylor","Carter","ETSU"
"3360","Liz","Cartwright","Nevada"
"3361","Macy","Cartwright","Georgetown"
"3362","Mimi","Cartwright","Lipscomb"
"3363","Alexa","Caruso","Yale"
"3364","Anna","Caruso","St. Thomas (MN)"
"3365","Diane","Caruso","Stony Brook"
"3366","Elise","Caruso","Spring Hill"
"3367","Kayla","Caruso","Elon"
"3368","Shelby","Carvalho","Binghamton"
"3369","Heather","Carver","Charleston So."
"3370","Lexi","Carver","Louisville"
"3371","Lexi","Carver","Bowling Green"
"3372","Niki","Carver","Ohio St."
"3373","Brooke","Carvey","Jacksonville St."
"3374","Katelynn","Carwile","Oklahoma St."
